{'id': 36, 'x': [0.24789999425411224, -0.9251999855041504, 0.2874000072479248], 'power': 35.09477996826172}
{'id': 37, 'x': [0.677299976348877, -0.677299976348877, 0.2874000072479248], 'power': 34.979244232177734}
{'id': 38, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 34.98173522949219}
{'id': 39, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 35.17522048950195}
{'id': 40, 'x': [0.32760000228881836, 0.9000999927520752, 0.2874000072479248], 'power': 34.74982833862305}
{'id': 41, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 36.50885009765625}
{'id': 42, 'x': [0.6157000064849854, 0.7336999773979187, 0.2874000072479248], 'power': 36.572357177734375}
{'id': 43, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 35.880653381347656}
{'id': 44, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 36.09324645996094}
{'id': 45, 'x': [0.5493999719619751, -0.784600019454956, 0.2874000072479248], 'power': 36.201377868652344}
{'id': 46, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 36.57190704345703}
{'id': 47, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 36.15101623535156}
{'id': 48, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 35.10918426513672}
{'id': 49, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 37.156471252441406}
{'id': 50, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 36.887088775634766}
{'id': 51, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 34.767547607421875}
{'id': 52, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 34.525081634521484}
{'id': 53, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 34.23952102661133}
{'id': 54, 'x': [0.954200029373169, -0.08349999785423279, 0.2874000072479248], 'power': 34.2174072265625}
{'id': 55, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 34.85436248779297}
{'id': 56, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 34.342811584472656}
{'id': 57, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 36.445404052734375}
{'id': 58, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 37.43186569213867}
{'id': 59, 'x': [0.8680999875068665, 0.4047999978065491, 0.2874000072479248], 'power': 37.08871841430664}
{'id': 60, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 36.120121002197266}
{'id': 61, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 35.255062103271484}
{'id': 62, 'x': [0.6157000064849854, 0.7336999773979187, 0.2874000072479248], 'power': 36.16150665283203}
{'id': 63, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 34.93598175048828}
{'id': 64, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 39.61231994628906}
{'id': 65, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 36.50019836425781}
{'id': 66, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 37.1715087890625}
{'id': 67, 'x': [0.677299976348877, 0.677299976348877, 0.2874000072479248], 'power': 35.270931243896484}
{'id': 68, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 35.21418380737305}
{'id': 69, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 35.778202056884766}
{'id': 70, 'x': [0.4788999855518341, 0.8295000195503235, 0.2874000072479248], 'power': 35.488006591796875}
{'id': 71, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 35.04320526123047}
{'id': 72, 'x': [0.4788999855518341, 0.8295000195503235, 0.2874000072479248], 'power': 35.63535690307617}
{'id': 73, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 35.20892333984375}
{'id': 74, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 34.47262191772461}
{'id': 75, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 37.9460563659668}
{'id': 76, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 36.44264221191406}
{'id': 77, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 38.01151657104492}
{'id': 78, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 35.94765853881836}
{'id': 79, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 37.495365142822266}
{'id': 80, 'x': [0.24789999425411224, 0.9251999855041504, 0.2874000072479248], 'power': 37.31869125366211}
{'id': 81, 'x': [0.4788999855518341, 0.8295000195503235, 0.2874000072479248], 'power': 37.30099105834961}
{'id': 82, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 36.294063568115234}
{'id': 83, 'x': [0.4047999978065491, -0.8680999875068665, 0.2874000072479248], 'power': 34.80429458618164}
{'id': 84, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 34.53822708129883}
{'id': 85, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 34.38530349731445}
{'id': 86, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 37.8527717590332}
{'id': 87, 'x': [0.1662999987602234, -0.9433000087738037, 0.2874000072479248], 'power': 35.354103088378906}
{'id': 88, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 36.330528259277344}
{'id': 89, 'x': [0.1662999987602234, -0.9433000087738037, 0.2874000072479248], 'power': 36.77037048339844}
{'id': 90, 'x': [0.4788999855518341, -0.8295000195503235, 0.2874000072479248], 'power': 36.3529052734375}
{'id': 91, 'x': [0.4788999855518341, -0.8295000195503235, 0.2874000072479248], 'power': 34.40050506591797}
{'id': 92, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 37.67803192138672}
{'id': 93, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 34.03895568847656}
{'id': 94, 'x': [0.8680999875068665, 0.4047999978065491, 0.2874000072479248], 'power': 34.48101806640625}
{'id': 95, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 34.493595123291016}
{'id': 96, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 37.70558166503906}
{'id': 97, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 38.23622512817383}
{'id': 98, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 36.8431510925293}
{'id': 99, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 37.58546447753906}
{'id': 100, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 34.830101013183594}
{'id': 101, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 38.906959533691406}
{'id': 102, 'x': [0.24789999425411224, 0.9251999855041504, 0.2874000072479248], 'power': 40.10549545288086}
{'id': 103, 'x': [0.4788999855518341, 0.8295000195503235, 0.2874000072479248], 'power': 34.50732421875}
{'id': 104, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 37.16204071044922}
{'id': 105, 'x': [0.32760000228881836, -0.9000999927520752, 0.2874000072479248], 'power': 35.10327911376953}
{'id': 106, 'x': [0.08349999785423279, -0.954200029373169, 0.2874000072479248], 'power': 37.83218002319336}
