{'id': 0, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 35.29357147216797}
{'id': 1, 'x': [0.954200029373169, -0.08349999785423279, 0.2874000072479248], 'power': 34.397979736328125}
{'id': 2, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 34.84036636352539}
{'id': 3, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 35.990135192871094}
{'id': 4, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 35.68808364868164}
{'id': 5, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 34.517906188964844}
{'id': 6, 'x': [0.8295000195503235, 0.4788999855518341, 0.2874000072479248], 'power': 37.31638717651367}
{'id': 7, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 39.80310821533203}
{'id': 8, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 35.45151138305664}
{'id': 9, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 36.84123229980469}
{'id': 10, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 37.55253982543945}
{'id': 11, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 37.63493347167969}
{'id': 12, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 36.02851867675781}
{'id': 13, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 39.388153076171875}
{'id': 14, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 34.52301025390625}
{'id': 15, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 36.419281005859375}
{'id': 16, 'x': [0.32760000228881836, 0.9000999927520752, 0.2874000072479248], 'power': 35.960391998291016}
{'id': 17, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 37.835906982421875}
{'id': 18, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 38.01500701904297}
{'id': 19, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 37.8748664855957}
{'id': 20, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 37.936763763427734}
{'id': 21, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 35.471397399902344}
{'id': 22, 'x': [0.9251999855041504, 0.24789999425411224, 0.2874000072479248], 'power': 34.62150955200195}
{'id': 23, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 34.844451904296875}
{'id': 24, 'x': [0.24789999425411224, 0.9251999855041504, 0.2874000072479248], 'power': 35.80580139160156}
{'id': 25, 'x': [0.0, 0.9577999711036682, 0.2874000072479248], 'power': 39.202735900878906}
{'id': 26, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 37.17250442504883}
{'id': 27, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 37.993961334228516}
{'id': 28, 'x': [0.6157000064849854, 0.7336999773979187, 0.2874000072479248], 'power': 35.78438186645508}
{'id': 29, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 40.47450637817383}
{'id': 30, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 36.61497116088867}
{'id': 31, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 40.43582534790039}
{'id': 32, 'x': [0.24789999425411224, 0.9251999855041504, 0.2874000072479248], 'power': 40.05889892578125}
{'id': 33, 'x': [0.24789999425411224, 0.9251999855041504, 0.2874000072479248], 'power': 35.00180435180664}
{'id': 34, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 37.35079574584961}
{'id': 35, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 39.0981559753418}
{'id': 36, 'x': [0.6157000064849854, 0.7336999773979187, 0.2874000072479248], 'power': 36.643585205078125}
{'id': 37, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 38.25965118408203}
{'id': 38, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 38.55440139770508}
{'id': 39, 'x': [0.6157000064849854, 0.7336999773979187, 0.2874000072479248], 'power': 38.06440734863281}
{'id': 40, 'x': [0.5493999719619751, 0.784600019454956, 0.2874000072479248], 'power': 38.66365432739258}
