{'id': 0, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 35.12525939941406}
{'id': 1, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 37.16256332397461}
{'id': 2, 'x': [0.954200029373169, -0.08349999785423279, 0.2874000072479248], 'power': 35.380165100097656}
{'id': 3, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 35.66365051269531}
{'id': 4, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 36.60917282104492}
{'id': 5, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 36.326576232910156}
{'id': 6, 'x': [0.5493999719619751, -0.784600019454956, 0.2874000072479248], 'power': 35.66761779785156}
{'id': 7, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 36.728755950927734}
{'id': 8, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 35.26040267944336}
{'id': 9, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 37.11408996582031}
{'id': 10, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 35.166473388671875}
{'id': 11, 'x': [0.4788999855518341, -0.8295000195503235, 0.2874000072479248], 'power': 37.1462287902832}
{'id': 12, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 36.063480377197266}
{'id': 13, 'x': [0.5493999719619751, -0.784600019454956, 0.2874000072479248], 'power': 35.43418502807617}
{'id': 14, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 35.59104537963867}
{'id': 15, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 35.085731506347656}
{'id': 16, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 35.94450378417969}
{'id': 17, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 37.367156982421875}
{'id': 18, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 37.97459411621094}
{'id': 19, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 38.040000915527344}
{'id': 20, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 36.320125579833984}
{'id': 21, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 36.0755615234375}
{'id': 22, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 37.56013488769531}
{'id': 23, 'x': [0.9433000087738037, 0.1662999987602234, 0.2874000072479248], 'power': 36.2410888671875}
{'id': 24, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 35.648048400878906}
{'id': 25, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 35.407230377197266}
{'id': 26, 'x': [0.6157000064849854, -0.7336999773979187, 0.2874000072479248], 'power': 36.11655807495117}
{'id': 27, 'x': [0.32760000228881836, -0.9000999927520752, 0.2874000072479248], 'power': 36.363990783691406}
{'id': 28, 'x': [0.4047999978065491, -0.8680999875068665, 0.2874000072479248], 'power': 35.351097106933594}
{'id': 29, 'x': [0.677299976348877, -0.677299976348877, 0.2874000072479248], 'power': 35.499610900878906}
