{'id': 0, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 33.40386962890625}
{'id': 1, 'x': [0.9251999855041504, 0.24789999425411224, 0.2874000072479248], 'power': 33.54296112060547}
{'id': 2, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 34.56666946411133}
{'id': 3, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 36.315277099609375}
{'id': 4, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 39.508113861083984}
{'id': 5, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 37.67886734008789}
{'id': 6, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 37.16590118408203}
{'id': 7, 'x': [0.9433000087738037, 0.1662999987602234, 0.2874000072479248], 'power': 33.68681716918945}
{'id': 8, 'x': [0.954200029373169, 0.08349999785423279, 0.2874000072479248], 'power': 33.30746841430664}
{'id': 9, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 37.67208480834961}
{'id': 10, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 37.804656982421875}
{'id': 11, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 38.24287796020508}
{'id': 12, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 38.789432525634766}
{'id': 13, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 37.64889144897461}
{'id': 14, 'x': [0.9433000087738037, 0.1662999987602234, 0.2874000072479248], 'power': 35.691280364990234}
{'id': 15, 'x': [0.9433000087738037, 0.1662999987602234, 0.2874000072479248], 'power': 33.12239456176758}
{'id': 16, 'x': [0.954200029373169, 0.08349999785423279, 0.2874000072479248], 'power': 38.247467041015625}
